vague species identification 	9590
Placed as Carangidae, might be Haemulidae	1
Placed as Dasyatidae, might be Gymnuridae	1
Placed as Lutjanidae, might be Nemipteridae	6
Placed as Ophidiidae, might be Lutjanidae	1
Placed as Synodontidae, might be Kuhliidae	2
Placed as Gobiidae, might be Kuhliidae	1
Placed as Clupeidae, might be Leiognathidae	1
Placed as Nemipteridae, might be Lutjanidae	2
Placed as Rajidae, might be Scyliorhinidae	3
Placed as Squalidae, might be Scyliorhinidae	1
Placed as Platycephalidae, might be Myctophidae	1
Placed as Engraulidae, might be Scombridae	2
Placed as Dactylopteridae, might be Bramidae	1
Placed as Nettastomatidae, might be Synaphobranchidae	1
Placed as Synodontidae, might be Polynemidae	1
Placed as Rajidae, might be Torpedinidae	1
Placed as Terapontidae, might be Sillaginidae	1
Placed as Ginglymostomatidae, might be Stegostomatidae	1
Placed as Aulostomidae, might be Gerreidae	1
Placed as Trichiuridae, might be Diodontidae	1
Placed as Gerreidae, might be Leiognathidae	1
Placed as Polynemidae, might be Leiognathidae	5
Placed as Bathylagidae, might be Macrouridae	1
Placed as Labridae, might be Clupeidae	1
Placed as Arhynchobatidae, might be Rajidae	3
Placed as Elopidae, might be Chanidae	2
Placed as Notosudidae, might be Nomeidae	1
Placed as Lethrinidae, might be Nemipteridae	1
Placed as Clupeidae, might be Pristigasteridae	5
Placed as Carangidae, might be Tetraodontidae	1
Placed as Gobiidae, might be Trichiuridae	1
Placed as Lutjanidae, might be Sparidae	2
Placed as Torpedinidae, might be Triakidae	1
Placed as Moringuidae, might be Congridae	1
Placed as Alopiidae, might be Carcharhinidae	3
Placed as Myliobatidae, might be Carcharhinidae	1
Placed as Sparidae, might be Merlucciidae	1
Placed as Hemiramphidae, might be Pomacentridae	1
Placed as Gobiidae, might be Pomacentridae	1
Placed as Pomacentridae, might be Pinguipedidae	1
Placed as Haemulidae, might be Gobiidae	1
Placed as Leiognathidae, might be Engraulidae	3
Placed as Muraenesocidae, might be Congridae	4
Placed as Pomacentridae, might be Serranidae	1
Placed as Leiognathidae, might be Clupeidae	1
Placed as Scorpaenidae, might be Sebastidae	3
Placed as Mugilidae, might be Lutjanidae	1
Placed as Mugilidae, might be Carangidae	2
Placed as Haemulidae, might be Lutjanidae	3
Placed as Uranoscopidae, might be Coryphaenidae	1
Placed as Clinidae, might be Blenniidae	4
Placed as Pinguipedidae, might be Polynemidae	1
Placed as Carangidae, might be Scombridae	2
Placed as Centrophoridae, might be Squalidae	1
Placed as Nettastomatidae, might be Scorpaenidae	1
Placed as Myctophidae, might be Mugilidae	2
Placed as Soleidae, might be Mugilidae	1
Placed as Callionymidae, might be Mugilidae	1
Placed as Labridae, might be Chaetodontidae	1
Placed as Carcharhinidae, might be Alopiidae	7
Placed as Gobiidae, might be Carangidae	1
Placed as Scyliorhinidae, might be Triakidae	2
Placed as Carangidae, might be Mullidae	1
Placed as Hemiscylliidae, might be Triakidae	2
Placed as Liparidae, might be Pleuronectidae	1
Placed as Tripterygiidae, might be Blenniidae	7
Placed as Synanceiidae, might be Scorpaenidae	2
Placed as Muraenesocidae, might be Ophichthidae	4
Placed as Rhinobatidae, might be Myliobatidae	1
Placed as Glaucostegidae, might be Dasyatidae	1
Placed as Tetraodontidae, might be Kuhliidae	1
Placed as Epigonidae, might be Howellidae	2
Placed as Sparidae, might be Lethrinidae	1
Placed as Zoarcidae, might be Zeidae	1
Placed as Serranidae, might be Lutjanidae	3
Placed as Pinguipedidae, might be Gobiidae	4
Placed as Siganidae, might be Carangidae	1
Placed as Macrouridae, might be Moridae	2
Placed as Carangidae, might be Lethrinidae	1
Placed as Sciaenidae, might be Scorpaenidae	1
Placed as Carcharhinidae, might be Squalidae	1
Placed as Epigonidae, might be Macrouridae	1
Placed as Fistulariidae, might be Platycephalidae	1
Placed as Mullidae, might be Engraulidae	1
Placed as Albulidae, might be Carangidae	1
Placed as Monacanthidae, might be Balistidae	3
Placed as Lethrinidae, might be Sparidae	1
Placed as Istiophoridae, might be Scombridae	2
Placed as Serranidae, might be Scombridae	1
Placed as Triglidae, might be Pleuronectidae	1
Placed as Paralepididae, might be Myctophidae	1
Placed as Dasyatidae, might be Myliobatidae	1
Placed as Synanceiidae, might be Synodontidae	1
Placed as Sphyraenidae, might be Synodontidae	1
Placed as Phosichthyidae, might be Sternoptychidae	1
Placed as Myctophidae, might be Sternoptychidae	1
Placed as Apogonidae, might be Kyphosidae	1
Placed as Clupeidae, might be Engraulidae	14
Placed as Lactariidae, might be Malakichthyidae	1
Placed as Lethrinidae, might be Carangidae	1
Placed as Uranoscopidae, might be Serranidae	1
Placed as Macrouridae, might be Myctophidae	2
Placed as Trichiuridae, might be Gobiidae	4
Placed as Trichiuridae, might be Engraulidae	3
Placed as Muraenidae, might be Pomacentridae	1
Placed as Soleidae, might be Platycephalidae	1
Placed as Carangidae, might be Priacanthidae	1
Placed as Chaetodontidae, might be Pempheridae	1
Placed as Haemulidae, might be Serranidae	1
Placed as Gobiidae, might be Acanthuridae	1
Placed as Hexanchidae, might be Bramidae	1
Placed as Squalidae, might be Hexanchidae	1
Placed as Sciaenidae, might be Dussumieriidae	2
Placed as Blenniidae, might be Gobiidae	3
Placed as Sciaenidae, might be Trichiuridae	2
Placed as Serranidae, might be Scorpaenidae	1
Placed as Serranidae, might be Lophiidae	2
Placed as Myctophidae, might be Gobiidae	1
Placed as Xiphiidae, might be Soleidae	1
Placed as Zoarcidae, might be Cottidae	3
Placed as Leiognathidae, might be Mullidae	1
Placed as Sparidae, might be Carangidae	2
Placed as Acropomatidae, might be Hoplichthyidae	1
Placed as Gobiidae, might be Terapontidae	1
Placed as Cynoglossidae, might be Serranidae	1
Placed as Myctophidae, might be Zoarcidae	1
Placed as Centrolophidae, might be Nomeidae	2
Placed as Clupeidae, might be Mugilidae	2
Placed as Rhombosoleidae, might be Congridae	1
Placed as Sparidae, might be Arripidae	1
Placed as Zoarcidae, might be Liparidae	1
Placed as Etmopteridae, might be Carcharhinidae	4
Placed as Synbranchidae, might be Engraulidae	1
Placed as Synodontidae, might be Fistulariidae	1
Placed as Exocoetidae, might be Hemiramphidae	1
Placed as Epigonidae, might be Centrolophidae	2
Placed as Gobiidae, might be Sillaginidae	1
Placed as Clupeidae, might be Nettastomatidae	1
Placed as Gobiidae, might be Blenniidae	2
Placed as Blenniidae, might be Diodontidae	1
Placed as Scombridae, might be Serranidae	2
Placed as Ostraciidae, might be Haemulidae	1
Placed as Myliobatidae, might be Gymnuridae	1
Placed as Holocentridae, might be Scorpaenidae	1
Placed as Sebastidae, might be Mullidae	1
Placed as Triakidae, might be Myliobatidae	1
Placed as Macrouridae, might be Carangidae	1
Placed as Rhinochimaeridae, might be Carangidae	1
Placed as Moridae, might be Carangidae	1
Placed as Siganidae, might be Platycephalidae	1
Placed as Belonidae, might be Sphyraenidae	1
Placed as Merlucciidae, might be Lutjanidae	1
Placed as Engraulidae, might be Clupeidae	3
Placed as Scombridae, might be Sciaenidae	2
Placed as Clupeidae, might be Sciaenidae	2
Placed as Polymixiidae, might be Gerreidae	1
Placed as Sternoptychidae, might be Gigantactinidae	1
Placed as Myctophidae, might be Tetraodontidae	1
Placed as Haemulidae, might be Leiognathidae	1
Placed as Bothidae, might be Cynoglossidae	1
Placed as Laridae, might be Procellariidae	2
Placed as Acrididae, might be Sparidae	3
Placed as Chaetodontidae, might be Pomacanthidae	1
Placed as Myctophidae, might be Hexanchidae	1
Placed as Gobiidae, might be Eleotridae	1
Placed as Cirrhitidae, might be Mullidae	1
Placed as Aulopidae, might be Triglidae	1
Placed as Blenniidae, might be Scombridae	1
Placed as Serrivomeridae, might be Nettastomatidae	1
Placed as Rajidae, might be Squalidae	1
Placed as Halymeniaceae, might be Howellidae	2
Placed as Molidae, might be Tetraodontidae	1
Placed as Acanthuridae, might be Labridae	1
Placed as Apogonidae, might be Muraenidae	1
Placed as Cynoglossidae, might be Lutjanidae	1
Placed as Pinguipedidae, might be Acanthuridae	2
Placed as Champsodontidae, might be Lutjanidae	1
Placed as Monodactylidae, might be Terapontidae	3
Placed as Leiognathidae, might be Lutjanidae	2
Placed as Pomacentridae, might be Mullidae	1
Placed as Tripterygiidae, might be Holocentridae	1
Placed as Carcharhinidae, might be Dasyatidae	1
Placed as Bathysauridae, might be Ophidiidae	2
Placed as Sebastidae, might be Arhynchobatidae	1
Placed as Sparidae, might be Ariidae	1
Placed as Belonidae, might be Zenarchopteridae	2
Placed as Apogonidae, might be Cynoglossidae	1
Placed as Soleidae, might be Macrouridae	1
Placed as Cynoglossidae, might be Soleidae	1
Placed as Phocoenidae, might be Delphinidae	1
Placed as Carcharhinidae, might be Ophidiidae	1
Placed as Mullidae, might be Leiognathidae	1
Placed as Sternoptychidae, might be Neoscopelidae	1
Placed as Glaucostegidae, might be Rhinobatidae	1
Placed as Triakidae, might be Scyliorhinidae	1
Placed as Blenniidae, might be Serranidae	1
Placed as Carcharhinidae, might be Triakidae	2
Placed as Soleidae, might be Dinolestidae	1
Placed as Triakidae, might be Rajidae	1
Placed as Sebastidae, might be Scorpaenidae	3
Placed as Sparidae, might be Haemulidae	1
Placed as Sciaenidae, might be Clupeidae	1
Placed as Atherinidae, might be Clupeidae	2
Placed as Cottidae, might be Priacanthidae	1
Placed as Sciaenidae, might be Sparidae	1
Placed as Melamphaidae, might be Gonostomatidae	1
Placed as Labridae, might be Tetraodontidae	1
Placed as Lophotidae, might be Myctophidae	1
Placed as Chlorophthalmidae, might be Haemulidae	1
Placed as Sciaenidae, might be Carangidae	1
Placed as Mullidae, might be Apogonidae	1
Placed as Chimaeridae, might be Carcharhinidae	1
Placed as Plotosidae, might be Scorpaenidae	1
Placed as Cottidae, might be Liparidae	1
Placed as Kuhliidae, might be Synodontidae	1
Placed as Clupeidae, might be Carangidae	1
Placed as Bothidae, might be Paralichthyidae	1
Placed as Platycephalidae, might be Haemulidae	1
Placed as Tetraodontidae, might be Dactylopteridae	1
Placed as Soleidae, might be Nemipteridae	1
Placed as Pleuronectidae, might be Paralichthyidae	1
Placed as Dasyatidae, might be Anacanthobatidae	1
Placed as Triakidae, might be Hexanchidae	1
Placed as Ophidiidae, might be Bathysauridae	1
Placed as Eleotridae, might be Tetraodontidae	1
Placed as Triakidae, might be Carcharhinidae	1
Placed as Gerreidae, might be Glaucostegidae	1
Placed as Ambassidae, might be Apogonidae	1
Placed as Labridae, might be Nettastomatidae	1
Placed as Gymnuridae, might be Myliobatidae	1
Placed as Drepaneidae, might be Serranidae	1
Placed as Sebastidae, might be Phosichthyidae	1
Placed as Chanidae, might be Echeneidae	1
Placed as Citharidae, might be Paralichthyidae	2
Placed as Howellidae, might be Epigonidae	3
Placed as Pomacentridae, might be Pseudochromidae	1
Placed as Scorpaenidae, might be Nettastomatidae	1
Placed as Paralichthyidae, might be Nettastomatidae	1
Placed as Ophichthidae, might be Muraenesocidae	2
Placed as Gobiidae, might be Gerreidae	1
Placed as Chiasmodontidae, might be Chenopodiaceae	1
Placed as Callionymidae, might be Triglidae	1
Placed as Pleuronectidae, might be Engraulidae	1
Placed as Balistidae, might be Tetraodontidae	1
Placed as Antennariidae, might be Scorpaenidae	1
Placed as Bythitidae, might be Zoarcidae	1
Placed as Zenarchopteridae, might be Belonidae	2
Placed as Mugilidae, might be Hemiramphidae	1
Placed as Leiognathidae, might be Polynemidae	1
Placed as Carcharhinidae, might be Squatinidae	1
Placed as Bothidae, might be Pleuronectidae	1
Placed as Congridae, might be Muraenesocidae	6
Placed as Ophidiidae, might be Acropomatidae	1
Placed as Ogcocephalidae, might be Atherinidae	1
Placed as Scombridae, might be Carangidae	1
Placed as Sphyraenidae, might be Pentacerotidae	1
Placed as Sillaginidae, might be Clupeidae	1
Placed as Carangidae, might be Acanthuridae	1
Placed as Squalidae, might be Etmopteridae	1
Placed as Hoplichthyidae, might be Acropomatidae	2
Placed as Congridae, might be Ammodytidae	1
Placed as Paralichthyidae, might be Sparidae	1
Placed as Monodactylidae, might be Scorpaenidae	1
Placed as Apogonidae, might be Pomacentridae	1
Placed as Stomiidae, might be Zoarcidae	1
Placed as Samaridae, might be Soleidae	1
Placed as Galaxiidae, might be Retropinnidae	1
Placed as Pinguipedidae, might be Sciaenidae	1
Placed as Congridae, might be Ophichthidae	1
Placed as Gobiidae, might be Sphyraenidae	1
Placed as Mugilidae, might be Ambassidae	1
Placed as Muraenidae, might be Chlopsidae	1
Placed as Myctophidae, might be Trichiuridae	1
Placed as Acanthuridae, might be Pinguipedidae	1
Placed as Scorpaenidae, might be Monodactylidae	1
Placed as Psychrolutidae, might be Cottidae	1
Placed as Chaetodontidae, might be Synodontidae	1
Placed as Clupeidae, might be Echeneidae	1
Placed as Paralichthyidae, might be Bothidae	1
Placed as Muraenesocidae, might be Engraulidae	1
Placed as Cottidae, might be Psychrolutidae	1
Placed as Clupeidae, might be Monacanthidae	1
Placed as Kyphosidae, might be Apogonidae	1
Placed as Myctophidae, might be Melamphaidae	1
Placed as Holocentridae, might be Muraenidae	1
Placed as Nemipteridae, might be Labridae	1
Placed as Nemichthyidae, might be Serrivomeridae	1
Placed as Pataecidae, might be Aracanidae	1
Placed as Lutjanidae, might be Merlucciidae	1
Placed as Pleuronectidae, might be Torpedinidae	1
Placed as Centrolophidae, might be Labridae	1
Placed as Platycephalidae, might be Labridae	1
Placed as Lutjanidae, might be Labridae	1
